Dataset,Method,NDCG@10,Recall@20,MRR@10
amazon_video_games,Uniform fusion,0.0435,0.1305,0.0322
amazon_video_games,Globally-tuned fusion,0.0493,0.1372,0.0364
amazon_video_games,Popularity (full-catalog ref.),0.0061,0.0351,0.0040
amazon_video_games,SignalShap-Fuse,0.0497,0.1372,0.0367
gowalla_ts,Uniform fusion,0.0166,0.0538,0.0114
gowalla_ts,Globally-tuned fusion,0.0209,0.0582,0.0151
gowalla_ts,Popularity (full-catalog ref.),0.0031,0.0096,0.0020
gowalla_ts,SignalShap-Fuse,0.0209,0.0582,0.0151
ml_1m,Uniform fusion,0.0527,0.1790,0.0365
ml_1m,Globally-tuned fusion,0.0639,0.2103,0.0440
ml_1m,Popularity (full-catalog ref.),0.0183,0.0729,0.0119
ml_1m,SignalShap-Fuse,0.0638,0.2109,0.0440
