Dataset,Source,LOO (seed 42),Shapley (seed 42),Shapley (seed mean),Seed CI (±1.96 SE),Gap (seed 42),Perm. $p$
amazon_video_games,cf,0.00845,0.01913,0.01963,"[0.01927, 0.01999]",0.01069,0.0001
amazon_video_games,ct,0.00002,0.00174,0.00178,"[0.00168, 0.00188]",0.00172,0.0001
amazon_video_games,pop,0.00308,0.00144,0.00161,"[0.00151, 0.00171]",-0.00164,0.0003
amazon_video_games,rec,0.00023,-0.00059,-0.00066,"[-0.00069, -0.00062]",-0.00082,0.0001
amazon_video_games,seq,0.00758,0.01897,0.01866,"[0.01850, 0.01883]",0.01139,0.0001
gowalla_ts,cf,0.00729,0.00712,0.00725,"[0.00704, 0.00746]",-0.00017,0.8302
gowalla_ts,ct,0.00528,0.00675,0.00674,"[0.00664, 0.00683]",0.00147,0.0350
gowalla_ts,pop,-0.00151,0.00056,0.00050,"[0.00042, 0.00057]",0.00207,0.0001
gowalla_ts,rec,0.00001,0.00039,0.00040,"[0.00038, 0.00042]",0.00038,0.0001
gowalla_ts,seq,0.00070,0.00214,0.00227,"[0.00214, 0.00241]",0.00144,0.0001
MovieLens-1M,cf,-0.00501,0.01526,0.01564,"[0.01525, 0.01603]",0.02027,0.0001
MovieLens-1M,ct,0.00083,-0.00013,-0.00015,"[-0.00018, -0.00013]",-0.00096,0.0005
MovieLens-1M,pop,0.00098,0.00643,0.00642,"[0.00633, 0.00651]",0.00545,0.0001
MovieLens-1M,rec,0.00044,0.00051,0.00044,"[0.00021, 0.00067]",0.00006,0.8049
MovieLens-1M,seq,0.01673,0.02943,0.02976,"[0.02933, 0.03020]",0.01270,0.0001
